,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,sentiment140,textblob2,vader,n
2020-12-01,,,,,0.6140350877192983,0.4385964912280701,0.4912280701754385,57.0
2020-12-02,,,,,0.5136986301369864,0.547945205479452,0.589041095890411,146.0
2020-12-03,,,,,0.5892857142857143,0.5,0.5357142857142857,112.0
2020-12-04,,,,,0.4696969696969697,0.4090909090909091,0.2878787878787879,66.0
2020-12-05,,,,,0.5737704918032787,0.5901639344262295,0.4754098360655737,61.0
2020-12-06,,,,,0.3818181818181818,0.4,0.4909090909090909,55.0
2020-12-07,,,,,0.4270833333333333,0.4270833333333333,0.3854166666666667,96.0
2020-12-08,,,,,0.5965909090909091,0.5738636363636364,0.4488636363636363,176.0
2020-12-09,,,,,0.5163934426229508,0.5819672131147541,0.4508196721311475,122.0
2020-12-10,,,,,0.6267605633802817,0.5140845070422535,0.4577464788732394,142.0
2020-12-11,,,,,0.5493827160493827,0.5246913580246914,0.4444444444444444,162.0
2020-12-12,,,,,0.5213675213675214,0.4358974358974359,0.4017094017094017,117.0
2020-12-13,0.0,0.0,0.0,0.0,0.5547945205479452,0.4589041095890411,0.4520547945205479,146.0
2020-12-14,0.0,0.0,0.0,0.0,0.6339622641509434,0.5962264150943396,0.460377358490566,265.0
2020-12-15,0.0,0.0,0.0,0.0,0.5049019607843137,0.553921568627451,0.4901960784313725,204.0
2020-12-16,0.0,0.0,0.0,0.0,0.6024096385542169,0.5602409638554217,0.463855421686747,166.0
2020-12-17,0.0,0.0,0.0,0.0,0.5612903225806452,0.5290322580645161,0.4129032258064516,155.0
2020-12-18,0.0,0.0,0.0,0.0,0.5214007782101168,0.4863813229571984,0.4747081712062256,257.0
2020-12-19,0.0,0.0,0.0,0.0,0.5303030303030303,0.4393939393939394,0.4469696969696969,132.0
2020-12-20,0.0,0.0,0.0,0.0,0.5671641791044776,0.6044776119402985,0.4477611940298507,134.0
2020-12-21,0.0,0.0,0.0,0.0,0.575,0.56875,0.45625,160.0
2020-12-22,0.0,0.0,0.0,0.0,0.580952380952381,0.6190476190476191,0.4666666666666667,105.0
2020-12-23,0.0,0.0,0.0,0.0,0.6138613861386139,0.5346534653465347,0.4554455445544554,101.0
2020-12-24,0.0,0.0,0.0,0.0,0.5416666666666666,0.5833333333333334,0.4166666666666667,48.0
2020-12-25,94.0,94.0,94.0,10.0,0.5294117647058824,0.5588235294117647,0.3823529411764705,34.0
2020-12-26,102.0,102.0,102.0,10.0,0.4285714285714285,0.6904761904761905,0.4285714285714285,42.0
2020-12-27,104.0,104.0,104.0,10.0,0.5490196078431373,0.5294117647058824,0.3333333333333333,51.0
2020-12-28,105.0,105.0,105.0,10.0,0.524390243902439,0.573170731707317,0.4634146341463415,82.0
2020-12-29,109.0,109.0,109.0,10.0,0.576271186440678,0.576271186440678,0.4152542372881356,118.0
2020-12-30,421.0,421.0,421.0,21.0,0.4758620689655172,0.4827586206896552,0.496551724137931,145.0
2020-12-31,460.0,460.0,460.0,23.0,0.40625,0.5833333333333334,0.3229166666666667,96.0
2021-01-01,476.0,476.0,476.0,23.0,0.5342465753424658,0.6575342465753424,0.3972602739726027,73.0
2021-01-02,500.0,500.0,500.0,25.0,0.5357142857142857,0.5892857142857143,0.4821428571428571,56.0
2021-01-03,503.0,503.0,503.0,25.0,0.4821428571428571,0.6428571428571429,0.3392857142857143,56.0
2021-01-04,506.0,506.0,506.0,25.0,0.4827586206896552,0.5689655172413793,0.4137931034482758,116.0
2021-01-05,591.0,591.0,591.0,33.0,0.4,0.638095238095238,0.4095238095238095,105.0
2021-01-06,1764.0,1764.0,1764.0,132.0,0.5,0.5428571428571428,0.4428571428571428,70.0
2021-01-07,3627.0,3626.0,3626.0,278.0,0.589041095890411,0.6164383561643836,0.4520547945205479,73.0
2021-01-08,8846.0,8844.0,8843.0,761.0,0.5510204081632653,0.6020408163265306,0.3265306122448979,98.0
2021-01-09,22221.0,22218.0,22217.0,1834.0,0.6785714285714286,0.6071428571428571,0.6071428571428571,56.0
2021-01-10,39378.0,39374.0,39372.0,2999.0,0.4423076923076923,0.5769230769230769,0.3846153846153846,52.0
2021-01-11,48731.0,48727.0,48722.0,3829.0,0.5548387096774193,0.5483870967741935,0.4,155.0
2021-01-12,54760.0,54756.0,54750.0,4243.0,0.4733333333333333,0.5733333333333334,0.4466666666666666,150.0
2021-01-13,71200.0,71196.0,71186.0,5464.0,0.4934210526315789,0.6644736842105263,0.4210526315789473,152.0
2021-01-14,87074.0,87067.0,87050.0,6731.0,0.4971428571428571,0.5371428571428571,0.3885714285714285,175.0
2021-01-15,101505.0,101497.0,101476.0,7843.0,0.5027932960893855,0.6480446927374302,0.435754189944134,179.0
2021-01-16,113355.0,113345.0,113317.0,8936.0,0.5045871559633027,0.6238532110091743,0.4220183486238532,109.0
2021-01-17,121990.0,121978.0,121947.0,9841.0,0.5853658536585366,0.6219512195121951,0.4024390243902439,82.0
2021-01-18,124974.0,124962.0,124929.0,10065.0,0.4259259259259259,0.5462962962962963,0.3703703703703703,108.0
2021-01-19,126758.0,126746.0,126712.0,10213.0,0.4358974358974359,0.5726495726495726,0.3675213675213675,117.0
2021-01-20,133719.0,133706.0,133653.0,10831.0,0.5526315789473685,0.543859649122807,0.4561403508771929,114.0
2021-01-21,143283.0,143270.0,143212.0,11706.0,0.5594405594405595,0.6573426573426573,0.4055944055944055,143.0
2021-01-22,156899.0,156886.0,156787.0,12986.0,0.5766423357664233,0.6423357664233577,0.4306569343065693,137.0
2021-01-23,164285.0,164271.0,164165.0,13804.0,0.5853658536585366,0.6463414634146342,0.4268292682926829,82.0
2021-01-24,170669.0,170655.0,170543.0,14527.0,0.4545454545454545,0.6212121212121212,0.3787878787878788,66.0
2021-01-25,175686.0,175672.0,175560.0,15331.0,0.4413793103448276,0.5517241379310345,0.4206896551724138,145.0
2021-01-26,183352.0,183338.0,183220.0,17397.0,0.6209150326797386,0.6143790849673203,0.4509803921568627,153.0
2021-01-27,198439.0,198422.0,198293.0,19166.0,0.4903846153846153,0.625,0.5384615384615384,104.0
2021-01-28,211741.0,211723.0,211570.0,20809.0,0.5522388059701493,0.6268656716417911,0.4328358208955223,134.0
2021-01-29,225056.0,225037.0,224880.0,22690.0,0.5902777777777778,0.6388888888888888,0.4513888888888889,144.0
2021-01-30,240255.0,240233.0,240065.0,24891.0,0.475,0.65,0.29375,160.0
2021-01-31,255765.0,255742.0,255566.0,26959.0,0.5339805825242718,0.6213592233009708,0.3495145631067961,103.0
2021-02-01,268496.0,268472.0,268290.0,29275.0,0.5111111111111111,0.5777777777777777,0.5037037037037037,135.0
2021-02-02,269418.0,269393.0,269211.0,29646.0,0.4351145038167939,0.6259541984732825,0.3435114503816794,131.0
2021-02-03,280179.0,280150.0,279960.0,31050.0,0.5061728395061729,0.654320987654321,0.4444444444444444,162.0
2021-02-04,294982.0,294950.0,294743.0,33833.0,0.5114503816793893,0.6870229007633588,0.3740458015267175,131.0
2021-02-05,316551.0,316518.0,316288.0,38679.0,0.5517241379310345,0.6896551724137931,0.4741379310344827,116.0
2021-02-06,342186.0,342152.0,341897.0,43754.0,0.4456521739130434,0.6195652173913043,0.4565217391304347,92.0
2021-02-07,373649.0,373614.0,373333.0,49857.0,0.4415584415584415,0.7402597402597403,0.3116883116883117,77.0
2021-02-08,396496.0,396460.0,396171.0,55267.0,0.4732824427480916,0.648854961832061,0.4198473282442748,131.0
2021-02-09,409397.0,409360.0,409059.0,60565.0,0.5041322314049587,0.5950413223140496,0.4793388429752066,121.0
2021-02-10,434067.0,434030.0,433710.0,67941.0,0.4824561403508772,0.7105263157894737,0.4035087719298245,114.0
2021-02-11,462281.0,462243.0,461889.0,76936.0,0.4370860927152318,0.6887417218543046,0.3509933774834437,151.0
2021-02-12,506400.0,506361.0,505939.0,91318.0,0.5473684210526316,0.631578947368421,0.4842105263157895,95.0
2021-02-13,551763.0,551723.0,551235.0,110308.0,0.3636363636363636,0.7878787878787878,0.4393939393939394,66.0
2021-02-14,625265.0,625214.0,624650.0,144899.0,0.3770491803278688,0.6065573770491803,0.3770491803278688,61.0
2021-02-15,694717.0,694666.0,694048.0,184647.0,0.4368932038834951,0.5631067961165048,0.2815533980582524,103.0
2021-02-16,723538.0,723487.0,722849.0,204226.0,0.5272727272727272,0.6,0.3909090909090909,110.0
2021-02-17,746403.0,746352.0,745705.0,220704.0,0.5153846153846153,0.7,0.4076923076923077,130.0
2021-02-18,818909.0,818820.0,818140.0,262945.0,0.4716981132075472,0.7075471698113207,0.5,106.0
2021-02-19,845951.0,845858.0,845164.0,282261.0,0.5983606557377049,0.6475409836065574,0.4180327868852459,122.0
2021-02-20,878138.0,878043.0,877311.0,301272.0,0.3571428571428571,0.4857142857142857,0.4285714285714285,70.0
2021-02-21,919875.0,919780.0,919011.0,328423.0,0.4716981132075472,0.6226415094339622,0.5094339622641509,53.0
2021-02-22,979258.0,979163.0,978352.0,368608.0,0.55,0.7375,0.375,80.0
2021-02-23,1008186.0,1008091.0,1007265.0,388409.0,0.5178571428571429,0.6071428571428571,0.3928571428571428,112.0
2021-02-24,1045223.0,1045127.0,1044289.0,415585.0,0.4964539007092198,0.6453900709219859,0.5319148936170213,141.0
2021-02-25,1099709.0,1099610.0,1098735.0,453102.0,0.5377358490566038,0.7264150943396226,0.4056603773584906,106.0
2021-02-26,1129334.0,1129230.0,1128334.0,473932.0,0.5950413223140496,0.6611570247933884,0.5371900826446281,121.0
